"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 01 20:12:25 GMT 2023","Tue Aug 01 20:12:26 GMT 2023","1022","Google Chrome","","All tests Regist","","","Remove last expense register",""
"passed","Tue Aug 01 20:12:23 GMT 2023","Tue Aug 01 20:12:24 GMT 2023","829","Google Chrome","","All tests Amounts","","","For each transaction, add the value in the ""Entradas"" field",""
"passed","Tue Aug 01 20:12:21 GMT 2023","Tue Aug 01 20:12:23 GMT 2023","1859","Google Chrome","","All tests Amounts","","","For each transaction, add the value in the ""total"" field",""
"passed","Tue Aug 01 20:12:24 GMT 2023","Tue Aug 01 20:12:25 GMT 2023","904","Google Chrome","","All tests Regist","","","Registration of a new expense",""
