"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","486","Não deve registrar transação com ""valor"" vazio","chromium","Wed Mar 25 20:08:27 UTC 2026","passed","Wed Mar 25 20:08:27 UTC 2026","Registro de Valores","","",""
"","467","Não deve registrar transação com ""descrição"" vazia","chromium","Wed Mar 25 20:08:27 UTC 2026","passed","Wed Mar 25 20:08:27 UTC 2026","Registro de Valores","","",""
"","463","Não deve registrar transação com ""data"" vazia","chromium","Wed Mar 25 20:08:27 UTC 2026","passed","Wed Mar 25 20:08:28 UTC 2026","Registro de Valores","","",""
"","512","Deve registrar despesa com sucesso","chromium","Wed Mar 25 20:08:28 UTC 2026","passed","Wed Mar 25 20:08:29 UTC 2026","Registro de despesas","","",""
"","483","Não deve registrar transação com todos os campos vazios","chromium","Wed Mar 25 20:08:28 UTC 2026","passed","Wed Mar 25 20:08:28 UTC 2026","Registro de Valores","","",""
"","1183","Para cada transação, sadicione o valor no campo ""total""","chromium","Wed Mar 25 20:08:25 UTC 2026","passed","Wed Mar 25 20:08:26 UTC 2026","Registro de Valores","","",""
"","551","Deve remover despesa com sucesso","chromium","Wed Mar 25 20:08:30 UTC 2026","passed","Wed Mar 25 20:08:30 UTC 2026","Registro de despesas","","",""
"","507","Para cada transação, adicione o valor no campo ""Entradas""","chromium","Wed Mar 25 20:08:26 UTC 2026","passed","Wed Mar 25 20:08:27 UTC 2026","Registro de Valores","","",""
"","581","Deve permitir cancelar o registro","chromium","Wed Mar 25 20:08:29 UTC 2026","passed","Wed Mar 25 20:08:30 UTC 2026","Registro de despesas","","",""
